,return
10,-0.011275303081219056
11,-0.011275303081219056
12,-0.0023861153063063334
13,-0.0023861153063063334
14,-0.0023861153063063334
15,-0.0023861153063063334
16,-0.002372538463567363
17,-0.003549613244854655
18,-0.0036090665452723335
19,-0.0036090665452723335
20,-0.0036090665452723335
21,-0.0036090665452723335
22,-0.0036090665452723335
23,-0.0036090665452723335
24,-0.0036090665452723335
25,-0.004122222015545256
26,-0.008423211603083496
27,-0.008423211603083496
28,-0.008423211603083496
29,-0.008423211603083496
30,-0.008423211603083496
31,-0.008423211603083496
32,-0.008423211603083496
33,-0.008423211603083496
34,-0.008423211603083496
35,-0.008119431773696614
36,-0.0007777637261153403
37,-0.002667717679776428
38,-0.0027898341475546297
39,-0.0027898341475546297
40,-0.0027898341475546297
41,-0.0027898341475546297
42,-0.010467962219374785
43,-0.010467962219374785
44,-0.010815313907696274
45,-0.01158651847296205
46,-0.01158651847296205
47,-0.01158651847296205
48,-0.01158651847296205
49,-0.01158651847296205
50,-0.01158651847296205
51,-0.01158651847296205
52,-0.011180753797219199
53,-0.011180753797219199
54,-0.011200620026881332
55,-0.006804213864798412
56,-0.0130859979476435
57,-0.0130859979476435
58,-0.0130859979476435
59,-0.0130859979476435
60,-0.0130859979476435
61,-0.0130859979476435
62,-0.0130859979476435
63,-0.0130859979476435
64,-0.012546412816029404
65,-0.012546412816029404
66,-0.004040528496975346
67,-0.004192570571368293
68,-0.004195584657340651
69,-0.004195584657340651
70,-0.004195584657340651
71,-0.004195584657340651
72,-0.004195584657340651
73,-0.004195584657340651
74,-0.004195584657340651
75,-0.004195584657340651
76,-0.0026577598604722364
77,-0.0024677284762692243
78,-0.007769291161537366
79,-0.007769291161537366
80,-0.007769291161537366
81,-0.007769291161537366
82,-0.007769291161537366
83,-0.008685935340791482
84,-0.008685935340791482
85,-0.008685935340791482
86,-0.008685935340791482
87,-0.012665857173775217
88,-0.012665857173775217
89,-0.012665857173775217
90,-0.012665857173775217
91,-0.012665857173775217
92,-0.012665857173775217
93,-0.012627897970554953
94,-0.012627897970554953
95,-0.012565845830010376
96,-0.012565845830010376
97,-0.0075587025734860595
98,-0.0075587025734860595
99,-0.0075587025734860595
100,-0.0071092889959839855
101,-0.014239277545616108
102,-0.014239277545616108
103,-0.014239277545616108
104,-0.014456598908191521
105,-0.014456598908191521
106,-0.014456598908191521
107,-0.014456598908191521
108,-0.014456598908191521
109,-0.014456598908191521
110,-0.014456598908191521
111,-0.00833559282306581
112,-0.00833559282306581
113,-0.00833559282306581
114,-0.004887865283342717
115,-0.004887865283342717
116,-0.004887865283342717
117,-0.004887865283342717
118,-0.004887865283342717
119,-0.004948619612069413
120,-0.004948619612069413
121,-0.0045723776793257405
122,-0.004756136753048698
123,-0.004756136753048698
124,-0.004756136753048698
125,-0.004789857061609393
126,-0.004789857061609393
127,-0.004789857061609393
128,-0.004789857061609393
129,-0.004870667296983141
130,-0.004870667296983141
131,-0.004037648717010637
132,-0.004037648717010637
133,-0.004037648717010637
134,-0.004037648717010637
135,-0.0038553557321067957
136,-0.004665028329141198
137,-0.004665028329141198
138,-0.004665028329141198
139,-0.004532861284454819
140,-0.004532861284454819
141,-0.004532861284454819
142,-0.004563205839987591
143,-0.004563205839987591
144,-0.004563205839987591
145,-0.004563205839987591
146,-0.012453886336248575
147,-0.013360943912839757
148,-0.013360943912839757
149,-0.016751507279453667
150,-0.016751507279453667
151,-0.016751507279453667
152,-0.016751507279453667
153,-0.016751507279453667
154,-0.016751507279453667
155,-0.016751507279453667
156,-0.019742045941739148
157,-0.019742045941739148
158,-0.019742045941739148
159,-0.019170968402629694
160,-0.019170968402629694
161,-0.019170968402629694
162,-0.019170968402629694
163,-0.01926572082700641
