,return
10,-0.00613459004950341
11,-0.00613459004950341
12,-0.00613459004950341
13,-0.0059368486387696715
14,-0.006073923303570133
15,-0.006073923303570133
16,-0.006073923303570133
17,-0.0050675164920656515
18,-0.006478419180420615
19,-0.006478419180420615
20,-0.006478419180420615
21,-0.006478419180420615
22,-0.006478419180420615
23,-0.006478419180420615
24,-0.006136617488838639
25,-0.006136617488838639
26,-0.015858882449507606
27,-0.015858882449507606
28,-0.01550239315122705
29,-0.01550239315122705
30,-0.01550239315122705
31,-0.01620483895118395
32,-0.01620483895118395
33,-0.01620483895118395
34,-0.01620483895118395
35,-0.01620483895118395
36,-0.00974591750154144
37,-0.00953826477098373
38,-0.00953826477098373
39,-0.00953826477098373
40,-0.009848711669674236
41,-0.003475120493651087
42,-0.003475120493651087
43,-0.0034757913448625888
44,-0.0034757913448625888
45,-0.0034930771506946913
46,-0.006185054375067344
47,-0.006185054375067344
48,-0.006185054375067344
49,-0.006185054375067344
50,-0.006129923803967551
51,-0.006129923803967551
52,-0.006129923803967551
53,-0.006129923803967551
54,-0.006129923803967551
55,-0.009062895983613482
56,-0.00877045351312323
57,-0.020884280974979394
58,-0.020884280974979394
59,-0.020884280974979394
60,-0.020884280974979394
61,-0.020884280974979394
62,-0.020884280974979394
63,-0.020884280974979394
64,-0.020884280974979394
65,-0.020080324394276743
66,-0.020080324394276743
67,-0.0003272556467938348
68,-0.0024328540793026334
69,-0.005190786354970833
70,-0.005190786354970833
71,-0.005190786354970833
72,-0.005190786354970833
73,-0.005190786354970833
74,-0.005190786354970833
75,-0.005190786354970833
76,-0.005190786354970833
77,-0.005190786354970833
78,-0.005086067640870647
79,-0.0014250760578831789
80,-0.0014250760578831789
81,-0.0014250760578831789
82,-0.0014250760578831789
83,-0.0043608503986901324
84,-0.0043608503986901324
85,-0.007458054021590887
86,-0.01657136969511118
87,-0.01657136969511118
88,-0.017153167766647943
89,-0.017153167766647943
90,-0.017153167766647943
91,-0.017153167766647943
92,-0.017153167766647943
93,-0.017153167766647943
94,-0.017153167766647943
95,-0.017153167766647943
96,-0.014130343716559947
97,-0.014130343716559947
98,-0.013999381112334354
99,-0.013999381112334354
100,-0.013999381112334354
101,-0.013999381112334354
102,-0.013999381112334354
103,-0.013999381112334354
104,-0.013999381112334354
105,-0.013808782884313187
106,-0.013808782884313187
107,-0.013808782884313187
108,-0.011003962176174022
109,-0.011003962176174022
110,-0.011003962176174022
111,-0.010959039168781137
112,-0.010663295962954083
113,-0.0039863599351278745
114,-0.0039863599351278745
115,-0.0039863599351278745
116,-0.0039863599351278745
117,-0.0039863599351278745
118,-0.004131621393465965
119,-0.004131621393465965
120,-0.003429917447660431
121,-0.003429917447660431
122,-0.003429917447660431
123,-0.003429917447660431
124,-0.003429917447660431
125,-0.003429917447660431
126,-0.003429917447660431
127,-0.004685825519678315
128,-0.004633774854554518
129,-0.004723272782699028
130,-0.004723272782699028
131,-0.004723272782699028
132,-0.004723272782699028
133,-0.004723272782699028
134,-0.004723272782699028
135,-0.006465114910814641
136,-0.006465114910814641
137,-0.006383499353373301
138,-0.006383499353373301
139,-0.006288328131980454
140,-0.006288328131980454
141,-0.0075690279715950205
142,-0.0075690279715950205
143,-0.0075690279715950205
144,-0.015997547031291307
145,-0.015997547031291307
146,-0.029683888355641983
147,-0.029683888355641983
148,-0.029683888355641983
149,-0.029683888355641983
150,-0.029683888355641983
151,-0.029683888355641983
152,-0.029683888355641983
153,-0.029683888355641983
154,-0.029874977545178753
155,-0.029874977545178753
156,-0.018721867014235744
157,-0.01792105063002441
158,-0.01792105063002441
159,-0.01792105063002441
160,-0.01792105063002441
161,-0.018639199081268053
162,-0.018639199081268053
163,-0.018639199081268053
164,-0.014535289941388667
165,-0.014535289941388667
166,-0.014535289941388667
167,-0.014535289941388667
168,-0.014351989892749151
169,-0.014351989892749151
170,-0.014336354175702429
171,-0.001956761761943908
